CustomerID,TotalSpent,TotalOrders,TotalQuantity,Segment
12413.0,758.1,3,286,Loyal
12414.0,562.41,3,300,Regular
12415.0,124914.53,21,77374,VIP
12417.0,3649.1,9,1552,VIP
12418.0,668.58,1,407,Loyal
12420.0,600.39,1,345,Regular
12421.0,807.04,4,484,Loyal
12422.0,803.5600000000001,3,370,Loyal
12423.0,1859.31,8,1339,VIP
12424.0,1760.96,2,740,VIP
12425.0,777.2,1,496,Loyal
12426.0,582.73,1,258,Regular
12427.0,825.8,3,533,Loyal
12428.0,7956.46,9,3536,VIP
12429.0,3750.4,4,1557,VIP
12430.0,256.4,1,117,New
12431.0,6419.95,15,2896,VIP
12432.0,5059.32,5,1801,VIP
12433.0,13375.87,7,11071,VIP
12434.0,806.14,2,394,Loyal
12435.0,7829.89,2,2055,VIP
12436.0,509.01,1,211,Regular
12437.0,4951.41,18,2922,VIP
12438.0,2906.85,2,1180,VIP
12441.0,173.55,1,121,New
12442.0,172.06,1,182,New
12444.0,5005.46,5,1153,VIP
12445.0,133.4,1,62,New
12446.0,1002.3100000000001,1,351,Loyal
12447.0,476.49,1,190,Regular
12448.0,449.45,1,243,Regular
12449.0,4067.29,4,1553,VIP
12450.0,197.88,2,128,New
12451.0,9035.52,5,6575,VIP
12452.0,430.57,2,185,Regular
12453.0,707.09,1,473,Loyal
12454.0,3528.34,1,1006,VIP
12455.0,2466.86,6,2089,VIP
12456.0,3181.04,3,1633,VIP
12457.0,2363.23,7,843,VIP
12458.0,947.4,2,506,Loyal
12461.0,826.88,2,287,Loyal
12462.0,1189.59,2,536,Loyal
12463.0,1344.78,4,776,Loyal
12464.0,1212.05,8,112,Loyal
12465.0,742.1899999999999,2,479,Loyal
12468.0,729.5400000000001,2,366,Loyal
12471.0,19788.65,30,8200,VIP
12472.0,6572.11,7,4148,VIP
12473.0,3928.0499999999997,5,2414,VIP
12474.0,7324.09,18,4833,VIP
12475.0,723.38,1,535,Loyal
12476.0,6816.42,11,2408,VIP
12477.0,13219.74,6,3653,VIP
12478.0,680.99,1,236,Loyal
12479.0,527.2,1,385,Regular
12480.0,3281.63,4,1707,VIP
12481.0,5579.82,10,3294,VIP
12483.0,2484.98,8,1110,VIP
12484.0,4527.32,6,2187,VIP
12488.0,1298.66,3,529,Loyal
12489.0,334.93,1,105,Regular
12490.0,5417.93,10,3064,VIP
12491.0,460.40000000000003,1,260,Regular
12492.0,263.21000000000004,2,192,New
12493.0,433.74,2,207,Regular
12494.0,1246.1000000000001,7,707,Loyal
12497.0,1043.1,1,1236,Loyal
12498.0,403.70000000000005,3,159,Regular
12500.0,4257.82,11,2678,VIP
12501.0,2169.39,1,1783,VIP
12502.0,3723.87,5,820,VIP
12504.0,482.04999999999995,2,90,Regular
12506.0,73.5,1,23,New
12507.0,1304.81,3,894,Loyal
12508.0,397.88,2,271,Regular
12509.0,176.5,1,55,New
12510.0,982.5699999999999,2,353,Loyal
12512.0,132.18,2,96,New
12513.0,612.29,1,462,Regular
12514.0,1017.68,1,440,Loyal
12515.0,383.7,1,131,Regular
12516.0,1312.06,2,875,Loyal
12517.0,2481.6,5,1361,VIP
12518.0,2056.89,5,1318,VIP
12519.0,330.84,1,175,Regular
12520.0,2634.26,5,1439,VIP
12521.0,599.68,1,309,Regular
12522.0,192.72,2,194,New
12523.0,1789.77,11,865,VIP
12524.0,4485.72,8,3699,VIP
12526.0,1316.66,3,632,Loyal
12527.0,348.71000000000004,3,234,Regular
12528.0,1933.48,6,756,VIP
12530.0,1662.28,4,913,VIP
12531.0,125.22,1,45,New
12532.0,349.83000000000004,1,153,Regular
12534.0,1089.18,1,651,Loyal
12535.0,716.35,2,219,Loyal
12536.0,12601.830000000002,3,2803,VIP
12538.0,363.95,1,191,Regular
12539.0,5568.35,4,2067,VIP
12540.0,13400.24,17,6685,VIP
12541.0,981.18,3,680,Loyal
12544.0,372.7,1,136,Regular
12545.0,1000.39,2,523,Loyal
12546.0,1161.5,2,633,Loyal
12547.0,207.79999999999998,2,134,New
12548.0,95.19999999999999,1,49,New
12550.0,964.83,1,569,Loyal
12551.0,168.0,1,100,New
12552.0,437.82,2,88,Regular
12553.0,3692.28,10,1965,VIP
12556.0,599.56,2,355,Regular
12557.0,11990.960000000001,5,4384,VIP
12558.0,269.96,1,196,New
12559.0,561.71,2,283,Regular
12560.0,2134.01,3,1110,VIP
12561.0,238.85,1,177,New
12562.0,3781.7400000000002,7,1779,VIP
12564.0,456.9,1,133,Regular
12565.0,145.92,1,80,New
12566.0,351.65,1,265,Regular
12567.0,9401.28,10,4305,VIP
12569.0,4124.69,32,1801,VIP
12571.0,519.61,2,523,Regular
12572.0,1020.42,2,452,Loyal
12573.0,160.54000000000002,1,84,New
12574.0,218.45,1,61,New
12576.0,1315.83,5,967,Loyal
12577.0,626.6,3,469,Regular
12578.0,2794.51,2,1196,VIP
12579.0,440.42,1,285,Regular
12580.0,415.7,1,238,Regular
12581.0,197.71,1,161,New
12582.0,511.36,2,300,Regular
12583.0,7281.38,15,5060,VIP
12584.0,2338.15,9,416,VIP
12585.0,2040.1,2,1279,VIP
12586.0,196.94000000000003,1,79,New
12587.0,144.0,1,51,New
12588.0,214.89999999999998,1,53,New
12589.0,646.68,2,306,Regular
12590.0,9864.26,2,4283,VIP
12591.0,452.84999999999997,1,228,Regular
12592.0,437.6,2,290,Regular
12593.0,418.09999999999997,3,206,Regular
12594.0,3338.2200000000003,10,1777,VIP
12596.0,618.27,2,474,Regular
12597.0,3811.22,4,2236,VIP
12598.0,3023.08,8,1964,VIP
12599.0,1032.58,7,956,Loyal
12600.0,2599.04,10,774,VIP
12601.0,577.0600000000001,5,245,Regular
12602.0,153.12,1,162,New
12603.0,739.1999999999999,1,63,Loyal
12604.0,254.18,2,201,New
12607.0,1579.51,1,1228,Loyal
12609.0,1126.85,3,648,Loyal
12610.0,2099.54,5,1049,VIP
12611.0,1193.32,1,846,Loyal
12612.0,704.0400000000001,1,262,Loyal
12613.0,3344.38,5,1644,VIP
12614.0,315.6,1,76,Regular
12615.0,2291.19,4,1376,VIP
12616.0,713.3,2,284,Loyal
12617.0,352.98,1,210,Regular
12618.0,177.31,1,96,New
12619.0,3641.24,9,3378,VIP
12620.0,1339.41,3,1181,Loyal
12621.0,13689.67,20,7440,VIP
12622.0,180.1,1,69,New
12623.0,305.1,1,191,New
12624.0,641.13,2,355,Regular
12625.0,2683.82,2,1612,VIP
12626.0,6620.48,9,3453,VIP
12627.0,4478.53,7,2752,VIP
12628.0,786.46,3,448,Loyal
12630.0,1270.88,2,548,Loyal
12631.0,640.5,1,236,Regular
12633.0,2163.98,4,1162,VIP
12635.0,1689.18,2,1172,VIP
12637.0,6002.9,8,2994,VIP
12638.0,671.69,1,577,Loyal
12639.0,486.1,1,201,Regular
12640.0,1174.58,3,311,Loyal
12641.0,185.9,1,72,New
12642.0,1013.26,3,552,Loyal
12643.0,3344.64,6,1808,VIP
12644.0,477.91,1,325,Regular
12645.0,1775.18,4,1084,VIP
12646.0,1346.97,2,897,Loyal
12647.0,3722.82,12,1431,VIP
12648.0,318.05,1,160,Regular
12649.0,623.51,3,586,Regular
12650.0,314.44,1,254,Regular
12651.0,114.0,1,78,New
12652.0,919.98,1,505,Loyal
12653.0,2209.85,2,919,VIP
12654.0,601.98,5,264,Regular
12656.0,4051.17,5,1723,VIP
12657.0,1643.18,4,1044,Loyal
12658.0,686.05,1,320,Loyal
12659.0,91.68,1,105,New
12660.0,245.1,1,127,New
12662.0,3849.78,11,2058,VIP
12664.0,4881.88,9,1203,VIP
12665.0,63.0,1,37,New
12667.0,620.13,1,395,Regular
12668.0,3807.15,4,1634,VIP
12669.0,2744.0299999999997,3,1115,VIP
12670.0,2996.05,5,1397,VIP
12672.0,225.89999999999998,1,78,New
12673.0,610.52,2,351,Regular
12674.0,1970.6,4,1133,VIP
12676.0,1331.39,6,670,Loyal
12678.0,17628.46,12,10923,VIP
12679.0,1113.02,4,554,Loyal
12680.0,862.81,4,443,Loyal
12681.0,13787.54,22,7536,VIP
12682.0,12279.82,31,5555,VIP
12683.0,8476.57,15,4987,VIP
12684.0,2283.63,7,1985,VIP
12685.0,2863.08,6,1523,VIP
12686.0,89.14,1,107,New
12688.0,4873.8099999999995,1,3028,VIP
12689.0,1247.61,2,628,Loyal
12690.0,389.01,1,106,Regular
12691.0,1035.8,6,394,Loyal
12693.0,855.91,4,255,Loyal
12694.0,869.67,2,509,Loyal
12695.0,582.1,4,220,Regular
12697.0,957.59,3,508,Loyal
12700.0,4939.99,4,2967,VIP
12701.0,797.71,2,678,Loyal
12702.0,219.0,1,53,New
12703.0,283.55,1,164,New
12704.0,2340.84,8,1006,VIP
12705.0,6868.29,9,3997,VIP
12707.0,603.42,1,256,Regular
12708.0,2712.91,10,1307,VIP
12709.0,9706.52,15,3912,VIP
12710.0,1149.02,3,851,Loyal
12712.0,4396.13,13,1062,VIP
12713.0,848.55,1,508,Loyal
12714.0,4708.86,5,3069,VIP
12715.0,343.36,1,192,Regular
12716.0,1053.49,2,708,Loyal
12717.0,1030.98,2,506,Loyal
12718.0,238.25,1,203,New
12719.0,644.95,2,374,Regular
12720.0,5781.73,25,4672,VIP
12721.0,2656.13,6,1959,VIP
12722.0,997.63,4,566,Loyal
12723.0,725.07,5,434,Loyal
12724.0,1031.41,4,445,Loyal
12725.0,427.8,1,164,Regular
12726.0,2609.1,7,3143,VIP
12727.0,3980.7,7,2098,VIP
12728.0,836.33,4,419,Loyal
12729.0,453.01,1,233,Regular
12731.0,18895.91,12,8437,VIP
12732.0,236.26000000000002,1,111,New
12733.0,383.95,1,137,Regular
12734.0,110.39999999999999,1,88,New
12735.0,779.5699999999999,2,368,Loyal
12736.0,234.0,1,173,New
12738.0,155.35,1,148,New
12739.0,1013.04,2,486,Loyal
12740.0,427.6,1,342,Regular
12743.0,540.13,2,315,Regular
12744.0,21279.29,7,5241,VIP
12747.0,4196.01,11,1275,VIP
12748.0,33053.19,209,25287,VIP
12749.0,4090.88,5,1471,VIP
12750.0,275.88,1,137,New
12752.0,4366.78,1,2262,VIP
12753.0,21429.39,6,11421,VIP
12754.0,3010.74,3,6481,VIP
12755.0,3811.95,2,1491,VIP
12756.0,112.07999999999998,1,144,New
12757.0,7834.650000000001,13,2395,VIP
12758.0,2791.59,2,2135,VIP
12759.0,1531.44,3,902,Loyal
12762.0,1898.52,2,1227,VIP
12763.0,494.08,2,316,Regular
12764.0,1693.88,1,386,VIP
12766.0,6989.63,7,3646,VIP
12769.0,1143.6,1,356,Loyal
12770.0,1351.45,1,743,Loyal
12772.0,892.47,1,556,Loyal
12775.0,1386.04,5,877,Loyal
12778.0,822.23,6,825,Loyal
12779.0,3981.36,8,2024,VIP
12781.0,826.74,2,671,Loyal
12782.0,2330.92,5,1086,VIP
12783.0,2225.91,6,624,VIP
12784.0,532.8199999999999,2,280,Regular
12785.0,311.95,1,131,Regular
12787.0,463.66,3,261,Regular
12789.0,91.85,1,4,New
12790.0,324.92,1,166,Regular
12791.0,192.60000000000002,1,97,New
12792.0,400.53999999999996,1,217,Regular
12793.0,545.48,2,295,Regular
12794.0,860.41,2,592,Loyal
12795.0,430.48,1,68,Regular
12797.0,254.03,1,118,New
12798.0,6977.04,3,5256,VIP
12802.0,427.58,1,314,Regular
12808.0,483.65000000000003,3,188,Regular
12809.0,489.31,1,220,Regular
12811.0,514.85,3,230,Regular
12812.0,229.64000000000001,1,164,New
12814.0,125.92,1,49,New
12815.0,1063.46,2,379,Loyal
12816.0,572.2,2,128,Regular
12817.0,166.04,1,53,New
12818.0,1542.08,1,929,Loyal
12820.0,942.34,4,722,Loyal
12821.0,92.72,1,70,New
12822.0,948.88,2,550,Loyal
12823.0,1759.5,5,230,VIP
12824.0,397.12,1,232,Regular
12826.0,1474.72,7,1058,Loyal
12827.0,430.15000000000003,3,197,Regular
12828.0,1018.71,6,494,Loyal
12829.0,293.0,2,376,New
12830.0,6814.64,6,9848,VIP
12831.0,215.05,1,135,New
12832.0,383.03,2,195,Regular
12833.0,417.38,1,156,Regular
12834.0,312.38,1,110,Regular
12836.0,2610.36,4,1062,VIP
12837.0,134.1,1,24,New
12838.0,671.95,2,355,Loyal
12839.0,5591.42,14,3807,VIP
12840.0,2726.77,4,1511,VIP
12841.0,3991.58,25,2720,VIP
12842.0,1118.99,2,547,Loyal
12843.0,1702.26,8,781,VIP
12844.0,325.96000000000004,2,125,Regular
12845.0,354.09,4,204,Regular
12847.0,843.64,1,873,Loyal
12849.0,1010.29,2,597,Loyal
12851.0,131.81,1,106,New
12852.0,311.55,1,149,Regular
12853.0,1957.1000000000001,6,800,VIP
12854.0,1316.25,3,626,Loyal
12855.0,38.1,1,30,New
12856.0,2170.78,6,1076,VIP
12857.0,1106.4,2,343,Loyal
12863.0,521.2,1,188,Regular
12864.0,147.12,1,216,New
12865.0,1568.23,2,925,Loyal
12866.0,559.12,1,171,Regular
12867.0,4009.34,7,4284,VIP
12868.0,1607.0600000000002,6,928,Loyal
12871.0,380.64,2,200,Regular
12872.0,599.97,2,319,Regular
12873.0,374.0,1,128,Regular
12875.0,343.2300000000001,2,2019,Regular
12876.0,2218.02,2,1941,VIP
12877.0,1535.77,12,1178,Loyal
12878.0,854.99,2,547,Loyal
12879.0,573.22,3,370,Regular
12881.0,298.0,1,21,New
12882.0,1463.04,2,246,Loyal
12883.0,703.47,4,196,Loyal
12884.0,309.05,1,43,Regular
12885.0,1175.22,3,655,Loyal
12886.0,1378.4,2,770,Loyal
12888.0,354.12,2,76,Regular
12890.0,376.71999999999997,1,256,Regular
12891.0,331.0,3,950,Regular
12893.0,176.55,1,90,New
12895.0,372.8,2,210,Regular
12897.0,216.5,2,110,New
12901.0,17654.54,28,23075,VIP
12902.0,138.68,1,66,New
12904.0,496.06,2,294,Regular
12906.0,2919.81,5,1749,VIP
12908.0,750.0,2,1200,Loyal
12909.0,2178.67,5,1280,VIP
12910.0,3075.04,8,1692,VIP
12912.0,1662.3,5,670,VIP
12913.0,2483.63,5,1419,VIP
12915.0,363.65,2,93,Regular
12916.0,2944.95,4,1083,VIP
12917.0,594.0,1,120,Regular
12919.0,1335.19,6,673,Loyal
12920.0,162.78,1,128,New
12921.0,16587.09,37,9526,VIP
12922.0,405.38,1,370,Regular
12923.0,172.82,1,68,New
12924.0,933.7,4,481,Loyal
12925.0,694.05,2,541,Loyal
12928.0,2062.7000000000003,5,1472,VIP
12929.0,117.85,1,37,New
12930.0,415.8,2,252,Regular
12931.0,42055.96,15,28004,VIP
12933.0,607.53,3,499,Regular
12935.0,2160.7,7,1853,VIP
12936.0,1063.9,4,559,Loyal
12937.0,1504.27,4,1007,Loyal
12938.0,114.14,1,140,New
12939.0,11581.8,8,4876,VIP
12940.0,899.69,2,404,Loyal
12942.0,675.6,3,198,Loyal
12944.0,604.51,2,289,Regular
12945.0,462.95,1,165,Regular
12947.0,1603.99,6,1165,Loyal
12948.0,2064.95,7,1080,VIP
12949.0,4167.22,8,2381,VIP
12950.0,1843.0,3,1380,VIP
12951.0,1064.07,6,503,Loyal
12952.0,1387.79,4,653,Loyal
12953.0,329.85,1,84,Regular
12955.0,4757.16,11,3664,VIP
12956.0,108.07,1,34,New
12957.0,4017.54,8,2549,VIP
12962.0,266.39,2,129,New
12963.0,1856.63,8,881,VIP
12965.0,769.8100000000001,1,282,Loyal
12966.0,160.18,1,75,New
12967.0,1660.9,2,438,VIP
12968.0,135.95,1,73,New
12970.0,405.47,4,268,Regular
12971.0,11189.91,86,9289,VIP
12974.0,144.8,1,24,New
12976.0,738.6,1,561,Loyal
12977.0,39.239999999999995,1,12,New
12980.0,7374.900000000001,9,886,VIP
12981.0,372.21999999999997,2,242,Regular
12982.0,390.54,1,288,Regular
12984.0,97.5,1,26,New
12985.0,1239.38,2,1533,Loyal
12987.0,558.7,2,219,Regular
12988.0,505.82,1,126,Regular
12989.0,6924.110000000001,15,2943,VIP
12990.0,409.5,3,200,Regular
12991.0,503.76,2,405,Regular
12993.0,414.76,4,240,Regular
12994.0,974.4200000000001,3,459,Loyal
12995.0,211.32,1,108,New
12997.0,1226.89,4,664,Loyal
12999.0,455.88,3,342,Regular
13000.0,534.85,3,379,Regular
13001.0,9785.970000000001,13,5490,VIP
13002.0,120.94999999999999,1,73,New
13003.0,149.05,3,103,New
13004.0,5655.91,18,4822,VIP
13005.0,513.7,2,172,Regular
13006.0,81.57,1,55,New
13008.0,229.46999999999997,1,175,New
13011.0,50.550000000000004,1,13,New
13012.0,1646.8400000000001,8,820,Loyal
13013.0,4810.9400000000005,13,2224,VIP
13014.0,3466.2799999999997,10,905,VIP
13015.0,3339.64,5,1609,VIP
13016.0,789.89,3,527,Loyal
13017.0,204.0,1,48,New
13018.0,7277.7,28,5435,VIP
13021.0,2616.38,9,1352,VIP
13023.0,689.9,2,286,Loyal
13026.0,975.36,5,1620,Loyal
13027.0,6912.0,6,17280,VIP
13028.0,661.3199999999999,2,798,Regular
13029.0,1247.5,3,134,Loyal
13030.0,752.4399999999999,2,348,Loyal
13032.0,1010.18,2,375,Loyal
13033.0,190.55,1,83,New
13034.0,642.77,2,369,Regular
13035.0,921.88,2,644,Loyal
13037.0,881.07,3,431,Loyal
13038.0,908.46,3,360,Loyal
13040.0,676.99,2,355,Loyal
13043.0,516.42,1,254,Regular
13044.0,560.47,1,429,Regular
13045.0,305.28000000000003,1,221,New
13046.0,629.31,2,264,Regular
13047.0,3237.54,10,1391,VIP
13048.0,1819.41,4,1228,VIP
13049.0,656.6800000000001,2,268,Regular
13050.0,5836.86,17,3748,VIP
13052.0,348.15000000000003,1,222,Regular
13055.0,1214.41,3,894,Loyal
13058.0,271.40000000000003,3,52,New
13059.0,183.4,1,35,New
13060.0,307.53,1,123,Regular
13061.0,248.61,1,107,New
13062.0,346.98,1,343,Regular
13064.0,1105.59,4,514,Loyal
13065.0,205.86,1,74,New
13066.0,470.8,2,322,Regular
13067.0,115.46000000000001,1,32,New
13068.0,344.0,2,200,Regular
13069.0,4431.44,24,5873,VIP
13070.0,228.8,1,110,New
13072.0,177.15,1,69,New
13075.0,919.61,1,485,Loyal
13077.0,728.02,4,862,Loyal
13078.0,12627.94,26,5630,VIP
13079.0,220.10000000000002,5,62,New
13080.0,58.08,1,120,New
13081.0,28337.38,11,19068,VIP
13082.0,3613.63,9,4324,VIP
13083.0,303.75,2,187,New
13085.0,416.08000000000004,2,216,Regular
13089.0,58762.08,97,31025,VIP
13090.0,8910.82,14,2263,VIP
13091.0,345.82,1,466,Regular
13092.0,477.83,5,279,Regular
13093.0,7832.47,8,3961,VIP
13094.0,1927.3200000000002,12,1716,VIP
13095.0,74.39999999999999,1,144,New
13097.0,6003.22,10,2360,VIP
13098.0,28882.44,28,15968,VIP
13099.0,207.35999999999999,1,288,New
13101.0,101.19,1,113,New
13102.0,6424.09,24,4204,VIP
13103.0,243.94,1,82,New
13104.0,1098.48,6,504,Loyal
13106.0,76.5,1,18,New
13107.0,1531.6200000000001,4,1293,Loyal
13108.0,350.06,1,298,Regular
13109.0,786.54,2,520,Loyal
13110.0,1488.67,7,388,Loyal
13113.0,12245.960000000001,24,3045,VIP
13115.0,2294.78,4,1567,VIP
13116.0,501.14,1,291,Regular
13117.0,984.91,8,945,Loyal
13118.0,1197.81,5,410,Loyal
13120.0,30.599999999999998,1,12,New
13121.0,283.73,1,252,New
13122.0,922.39,2,585,Loyal
13124.0,3756.33,3,2119,VIP
13126.0,2099.64,8,2143,VIP
13127.0,259.17,1,127,New
13130.0,64.0,1,32,New
13131.0,1073.3,3,447,Loyal
13132.0,77.3,1,20,New
13133.0,109.8,2,32,New
13134.0,1793.58,4,1059,VIP
13135.0,3096.0,1,4300,VIP
13136.0,2607.61,5,1328,VIP
13137.0,3603.29,8,2204,VIP
13138.0,962.39,6,473,Loyal
13139.0,5064.94,7,2425,VIP
13140.0,422.47,3,185,Regular
13141.0,2388.75,5,1548,VIP
13142.0,307.09,1,258,Regular
13144.0,110.95,1,21,New
13145.0,618.52,4,145,Regular
13146.0,228.91,1,154,New
13147.0,712.8000000000001,4,144,Loyal
13148.0,3683.26,12,1965,VIP
13149.0,1676.06,4,1280,VIP
13151.0,1257.8700000000001,1,363,Loyal
13153.0,486.22,1,418,Regular
13155.0,971.76,4,497,Loyal
13157.0,1741.22,4,1439,VIP
13158.0,1201.06,4,784,Loyal
13159.0,1429.35,4,1058,Loyal
13160.0,91.8,1,56,New
13161.0,112.75,1,29,New
13162.0,1688.29,4,1713,VIP
13165.0,1021.48,2,1376,Loyal
13166.0,417.2,1,216,Regular
13167.0,791.33,4,785,Loyal
13168.0,1299.59,4,670,Loyal
13169.0,712.88,2,272,Loyal
13170.0,108.81,1,141,New
13171.0,468.41,3,229,Regular
13173.0,353.65,2,277,Regular
13174.0,2742.82,3,1352,VIP
13176.0,481.49,1,448,Regular
13177.0,282.45,1,91,New
13178.0,5725.47,11,3570,VIP
13182.0,121.18,1,201,New
13183.0,3957.78,9,2208,VIP
13184.0,1668.95,10,1662,VIP
13185.0,71.4,1,12,New
13186.0,1575.89,3,820,Loyal
13187.0,236.02,1,95,New
13188.0,114.60000000000001,1,25,New
13189.0,260.68,2,842,New
13192.0,911.94,2,595,Loyal
13193.0,112.08,1,46,New
13194.0,60.7,1,26,New
13196.0,1797.78,4,1224,VIP
13198.0,3401.2400000000002,6,2648,VIP
13199.0,9817.12,38,6176,VIP
13200.0,870.09,4,516,Loyal
13203.0,869.46,4,800,Loyal
13207.0,250.26000000000002,2,130,New
13208.0,1217.65,6,803,Loyal
13209.0,5891.61,8,4253,VIP
13210.0,353.48,1,316,Regular
13211.0,1095.42,3,834,Loyal
13212.0,786.83,3,309,Loyal
13213.0,1520.58,5,1360,Loyal
13216.0,333.74,1,297,Regular
13217.0,533.98,3,262,Regular
13218.0,62.63999999999999,1,88,New
13220.0,819.2900000000001,4,196,Loyal
13221.0,847.41,2,244,Loyal
13223.0,163.20000000000002,2,88,New
13224.0,2155.95,2,1518,VIP
13225.0,6463.84,7,3416,VIP
13226.0,108.21000000000001,1,80,New
13227.0,257.7,1,99,New
13228.0,358.0,1,200,Regular
13229.0,160.95,1,63,New
13230.0,2755.63,14,1638,VIP
13232.0,1328.35,7,773,Loyal
13233.0,605.12,2,1004,Regular
13235.0,1031.07,1,441,Loyal
13236.0,744.85,2,416,Loyal
13238.0,700.73,4,298,Loyal
13239.0,329.56,1,327,Regular
13240.0,663.65,4,298,Regular
13242.0,270.40000000000003,3,130,New
13243.0,585.12,1,232,Regular
13244.0,121.74000000000001,1,38,New
13245.0,430.5,1,125,Regular
13246.0,1961.52,6,1587,VIP
13247.0,501.12,4,328,Regular
13248.0,465.68,2,305,Regular
13249.0,711.41,3,546,Loyal
13253.0,1030.4,2,1572,Loyal
13255.0,399.51,2,177,Regular
13258.0,672.83,3,282,Loyal
13259.0,283.18,1,126,New
13260.0,557.62,1,142,Regular
13261.0,944.1,2,210,Loyal
13262.0,200.29,1,125,New
13263.0,7436.93,35,4768,VIP
13265.0,2092.66,5,1740,VIP
13266.0,3834.2599999999998,12,4428,VIP
13267.0,4521.49,19,1969,VIP
13268.0,3174.75,11,3624,VIP
13269.0,5343.28,15,3513,VIP
13270.0,590.0,1,200,Regular
13271.0,211.49,1,240,New
13272.0,276.56,2,96,New
13273.0,138.98,1,153,New
13276.0,590.9300000000001,2,161,Regular
13277.0,258.4,4,176,New
13278.0,542.73,1,537,Regular
13279.0,137.75,1,73,New
13280.0,798.46,3,518,Loyal
13282.0,1132.14,3,307,Loyal
13283.0,93.66,2,90,New
13284.0,201.19,1,91,New
13285.0,2709.12,4,2051,VIP
13291.0,361.11,1,233,Regular
13292.0,578.9399999999999,2,347,Regular
13294.0,873.74,2,453,Loyal
13295.0,201.20000000000002,1,82,New
13296.0,87.4,1,78,New
13297.0,2089.85,4,963,VIP
13298.0,360.0,1,96,Regular
13299.0,142.5,1,30,New
13300.0,371.89,1,203,Regular
13301.0,618.09,4,345,Regular
13302.0,63.75,1,5,New
13304.0,300.42,1,238,New
13305.0,2000.86,10,1232,VIP
13307.0,15.0,1,4,New
13308.0,1385.51,3,843,Loyal
13309.0,1456.79,5,1544,Loyal
13310.0,1132.03,3,587,Loyal
13311.0,598.57,2,305,Regular
13313.0,1555.32,5,851,Loyal
13314.0,775.94,3,560,Loyal
13316.0,5732.93,4,5508,VIP
13317.0,2273.68,6,1035,VIP
13318.0,640.76,3,304,Regular
13319.0,10845.550000000001,26,4724,VIP
13320.0,1532.2,4,1086,Loyal
13321.0,567.36,2,372,Regular
13322.0,199.48000000000002,1,117,New
13323.0,787.85,5,175,Loyal
13324.0,7121.95,10,5205,VIP
13325.0,675.3,1,240,Loyal
13327.0,3627.77,8,1600,VIP
13328.0,1308.48,1,680,Loyal
13329.0,789.0,2,463,Loyal
13330.0,1140.93,3,751,Loyal
13332.0,350.9,1,179,Regular
13334.0,3502.32,3,1764,VIP
13336.0,795.12,1,559,Loyal
13338.0,487.02,1,256,Regular
13339.0,860.12,1,326,Loyal
13340.0,10736.48,7,5770,VIP
13341.0,775.85,1,301,Loyal
13343.0,353.43,1,135,Regular
13344.0,2511.69,3,952,VIP
13345.0,389.5,1,141,Regular
13347.0,341.36,1,205,Regular
13348.0,233.76,1,136,New
13349.0,247.32,1,225,New
13350.0,979.12,2,287,Loyal
13351.0,373.94,1,117,Regular
13352.0,397.97999999999996,1,321,Regular
13354.0,743.53,1,604,Loyal
13355.0,674.7,1,314,Loyal
13356.0,768.24,1,325,Loyal
13357.0,609.4,1,321,Regular
13358.0,439.03,1,285,Regular
13359.0,439.56,1,161,Regular
13362.0,3090.7400000000002,4,1382,VIP
13363.0,992.5,2,710,Loyal
13364.0,134.95999999999998,1,71,New
